"V1" "V2" "V3"
-12.7634028978245 -45.2394167172012 -7.00610700217626
-12.2542271287474 -39.9741459154103 -3.53360401114372
-19.3603377750942 -26.6537473951067 -4.86843314852033
-2.14861982359606 -33.7483780243818 -6.8093249797821
-8.2416501385825 -17.4907341003418 -5.1212817123958
-20.6775640509594 -57.0644213358561 -4.93629450085519
-4.00867284599103 -59.3406637091386 -6.25681548369558
-17.5900161001417 -54.0926905737983 -6.81477830145094
-8.62157223820686 -46.4892677783966 -6.98972876667976
-7.8390530858721 -25.3062830879575 -4.49065571171897
-16.2621096125189 -42.4889619215479 -3.1610032207561
-1.19542466104031 -36.1313618421555 -6.45969923585653
-4.57353638112545 -23.7338752746582 -6.61716318875551
-17.0775693560403 -52.9362956455776 -6.9203798505995
-13.9710722798887 -16.3392864517544 -5.49487121208854
-13.5770131725155 -19.9025067629879 -6.93836509364925
-3.21871152189043 -22.9715204450819 -5.84019360542297
-15.0510332639827 -16.4085609635641 -6.07634277676427
-5.35728005395419 -23.546163033748 -4.52359046106753
-21.1489380501412 -45.1680797886204 -6.06236268378593
-4.00732907350513 -53.3869003074757 -3.53577260349108
-5.77155377259895 -39.8358944565503 -3.64187861556437
-8.29447897523642 -19.1679828464985 -4.82378823310137
-8.54639861162971 -59.0750932581284 -3.93199349010692
-5.95025532866177 -36.8143546222007 -3.81636151222333
-5.06314914913501 -19.9425853955544 -5.77803074707419
-16.1023066989959 -37.1655175345285 -3.17493157159714
-17.333753786589 -59.4088705464413 -3.41724454415472
-18.1487544077747 -46.8193726449643 -3.29937535411907
-15.4495794450915 -30.5144889934643 -7.37445169526177
-9.32025274088685 -31.9801450111497 -4.10304218614605
-13.5877131344227 -59.0520420288772 -3.67747197526225
-13.9258275168283 -47.6446916852679 -6.93109339986529
-1.08484984993935 -41.1079837036133 -4.53256047566732
-5.69522996966758 -47.7943177383937 -7.17743993073367
-20.1992290540673 -46.410534211959 -6.59210664924534
-11.0892164468765 -28.6348669290543 -4.10521139502525
-16.3921096150468 -40.3736865811232 -7.22914185175082
-2.70924046371557 -42.4472729646707 -6.88018915924845
-19.5731172400006 -56.7968400858216 -3.96221098657382
-3.15604809478477 -45.7553164635176 -6.89597155135355
-19.8116539695046 -24.8678647474809 -5.90741736238653
-8.64577281307167 -45.3031472219548 -3.59456692279225
-8.82083599427167 -25.9245125265682 -7.49536533916698
-7.96092360627418 -30.4087441201304 -7.6331775375441
